video_id,comments_disabled,ratings_disabled,video_error_or_removed,likes_log,label,dislikes_log,comment_log,num_tags,desc_len,len_title,country_CA,country_FR,country_IN,country_US,category_Autos & Vehicles,category_Comedy,category_Education,category_Entertainment,category_Film & Animation,category_Gaming,category_Howto & Style,category_Movies,category_Music,category_News & Politics,category_Nonprofits & Activism,category_People & Blogs,category_Pets & Animals,category_Science & Technology,category_Shows,category_Sports,category_Trailers,category_Travel & Events,publish_weekday_1,publish_weekday_2,publish_weekday_3,publish_weekday_4,publish_weekday_5,publish_weekday_6,publish_weekday_7
NTiSvK7c810,False,False,False,3.8918202981106265,10.39854958112264,3.332204510175204,0.6931471805599453,15,216,65,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
g7BHnHzwOVo,False,False,False,9.208739090609209,12.48311708849318,6.519147287940395,6.244166900663736,23,346,88,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
tA-cUlv-3Z8,False,False,False,7.629489916393995,12.220601587438884,5.501258210544727,6.799055862058796,33,915,96,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
SVc0gV3pWC0,False,False,False,10.894273324500688,14.1178652097241,7.013915474810528,7.711101251840158,8,215,51,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
PVyuSPi0brM,False,False,False,5.8888779583328805,10.1145990076265,3.4339872044851463,2.6390573296152584,14,396,87,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
r0wnuv1X1Z0,False,False,False,0.6931471805599453,10.097284679055107,0.6931471805599453,0.6931471805599453,35,604,61,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
WZIsINLpDcA,False,False,False,5.424950017481403,10.979786063607651,3.1780538303479458,3.4339872044851463,24,899,58,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
KPSK2qOPvuU,False,False,False,7.647786045440933,11.206128528658766,4.442651256490317,6.306275286948016,11,950,87,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
XU6iH5LHwDw,True,False,False,5.857933154483459,11.082988344937576,3.367295829986474,0.0,31,107,88,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
4f20l8mdBh0,False,False,False,8.163371316459912,11.793749071823472,4.499809670330265,5.68697535633982,23,750,68,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
